t,value
1506653029,0
1506653039,0
1506653049,0
1506653059,0
1506653069,0
1506653079,0
1506653089,0
1506653099,0
1506653109,0
1506653119,0
1506653129,0
1506653139,0
1506653149,0
1506653159,0
1506653169,0
1506653179,0
1506653189,0
1506653199,0
1506653209,0
1506653219,0
1506653229,0
1506653239,0
1506653249,0
1506653259,0
1506653269,0
1506653279,0
1506653289,0
1506653299,0
1506653309,0
1506653319,0
1506653329,0
1506653339,0
1506653349,0
1506653359,0
1506653369,0
1506653379,0
1506653389,0
1506653399,0
1506653409,0
1506653419,0
1506653429,0
1506653439,0
1506653449,0
1506653459,0
1506653469,0
1506653479,0
1506653489,0
1506653499,0
1506653509,0
1506653519,0
1506653529,0
1506653539,0
1506653549,0
1506653559,0
1506653569,0
1506653579,0
1506653589,0
1506653599,0
1506653609,0
1506653619,0
1506653629,0
1506653639,0
1506653649,0
1506653659,0
1506653669,0
1506653679,0
1506653689,0
1506653699,0
1506653709,0
1506653719,0
1506653729,0
1506653739,0
1506653749,0
1506653759,0
1506653769,0
1506653779,0
1506653789,0
1506653799,0
1506653809,0
1506653819,0
1506653829,0
1506653839,0
1506653849,0
1506653859,0
1506653869,0
1506653879,0
1506653889,0
1506653899,0
1506653909,0
1506653919,0
1506653929,0
1506653939,0
1506653949,0
1506653959,0
1506653969,0
1506653979,0
1506653989,0
1506653999,0
1506654009,0
1506654019,0
1506654029,0
1506654039,0
1506654049,0
1506654059,0
1506654069,0
1506654079,0
1506654089,0
1506654099,0
1506654109,0
1506654119,0
1506654129,0
1506654139,0
1506654149,0
1506654159,0
1506654169,0
1506654179,0
1506654189,0
1506654199,0
1506654209,0
1506654219,0
1506654229,0
1506654239,0
1506654249,0
1506654259,0
1506654269,0
1506654279,0
1506654289,0
1506654299,0
1506654309,0
1506654319,0
1506654329,0
1506654339,0
1506654349,0
1506654359,0
1506654369,0
1506654379,0
1506654389,0
1506654399,0
1506654409,0
1506654419,0
1506654429,0
1506654439,0
1506654449,0
1506654459,0
1506654469,0
1506654479,0
1506654489,0
1506654499,0
1506654509,0
1506654519,0
1506654529,0
1506654539,0
1506654549,0
1506654559,0
1506654569,0
1506654579,0
1506654589,0
1506654599,0
1506654609,0
1506654619,0
1506654629,0
1506654639,0
1506654649,0
1506654659,0
1506654669,0
1506654679,0
1506654689,0
1506654699,0
1506654709,0
1506654719,0
1506654729,0
1506654739,0
1506654749,0
1506654759,0
1506654769,0
1506654779,0
1506654789,0
1506654799,0
1506654809,0
1506654819,0
1506654829,0
1506654839,0
1506654849,0
1506654859,0
1506654869,0
1506654879,0
1506654889,0
1506654899,0
1506654909,0
1506654919,0
1506654929,0
1506654939,0
1506654949,0
1506654959,0
1506654969,0
1506654979,0
1506654989,0
1506654999,0
1506655009,0
1506655019,0
1506655029,0
1506655039,0
1506655049,0
1506655059,0
1506655069,0
1506655079,0
1506655089,0
1506655099,0
1506655109,0
1506655119,0
1506655129,0
1506655139,0
1506655149,0
1506655159,0
1506655169,0
1506655179,0
1506655189,0
1506655199,0
1506655209,0
1506655219,0
1506655229,0
1506655239,0
1506655249,0
1506655259,0
1506655269,0
1506655279,0
1506655289,0
1506655299,0
1506655309,0
1506655319,0
1506655329,0
1506655339,0
1506655349,0
1506655359,0
1506655369,0
1506655379,0
1506655389,0
1506655399,0
1506655409,0
1506655419,0
1506655429,0
1506655439,0
1506655449,0
1506655459,0
1506655469,0
1506655479,0
1506655489,0
1506655499,0
1506655509,0
1506655519,0
1506655529,0
1506655539,0
1506655549,0
1506655559,0
1506655569,0
1506655579,0
1506655589,0
1506655599,0
1506655609,0
1506655619,0
1506655629,0
1506655639,0
1506655649,0
1506655659,0
1506655669,0
1506655679,0
1506655689,0
1506655699,0
1506655709,0
1506655719,0
1506655729,0
1506655739,0
1506655749,0
1506655759,0
1506655769,0
1506655779,0
1506655789,0
1506655799,0
1506655809,0
1506655819,0
1506655829,0
1506655839,0
1506655849,0
1506655859,0
1506655869,0
1506655879,0
1506655889,0
1506655899,0
1506655909,0
1506655919,0
1506655929,0
1506655939,0
1506655949,0
1506655959,0
1506655969,0
1506655979,0
1506655989,0
1506655999,0
1506656009,0
1506656019,0
1506656029,0
1506656039,0
1506656049,0
1506656059,0
1506656069,0
1506656079,0
1506656089,0
1506656099,0
1506656109,0
1506656119,0
1506656129,0
1506656139,0
1506656149,0
1506656159,0
1506656169,0
1506656179,0
1506656189,0
1506656199,0
1506656209,0
1506656219,0
1506656229,0
1506656239,0
1506656249,0
1506656259,0
1506656269,0
1506656279,0
1506656289,0
1506656299,0
1506656309,0
1506656319,0
1506656329,0
1506656339,0
1506656349,0
1506656359,0
1506656369,0
1506656379,0
1506656389,0
1506656399,0
1506656409,0
1506656419,0
1506656429,0
1506656439,0
1506656449,0
1506656459,0
1506656469,0
1506656479,0
1506656489,0
1506656499,0
1506656509,0
1506656519,0
1506656529,0
1506656539,0
1506656549,0
1506656559,0
1506656569,0
1506656579,0
1506656589,0
1506656599,0
1506656609,0
1506656619,0
1506656629,0
1506656639,0
1506656649,0
1506656659,0
1506656669,0
1506656679,0
1506656689,0
1506656699,0
1506656709,0
1506656719,0
1506656729,0
1506656739,0
1506656749,0
1506656759,0
1506656769,0
1506656779,0
1506656789,0
1506656799,0
1506656809,0
1506656819,0
1506656829,0
1506656839,0
1506656849,0
1506656859,0
1506656869,0
1506656879,0
1506656889,0
1506656899,0
1506656909,0
1506656919,0
1506656929,0
1506656939,0
1506656949,0
1506656959,0
1506656969,0
1506656979,0
1506656989,0
1506656999,0
1506657009,0
1506657019,0
1506657029,0
1506657039,0
1506657049,0
1506657059,0
1506657069,0
1506657079,0
1506657089,0
1506657099,0
1506657109,0
1506657119,0
1506657129,0
1506657139,0
1506657149,0
1506657159,0
1506657169,0
1506657179,0
1506657189,0
1506657199,0
1506657209,0
1506657219,0
1506657229,0
1506657239,0
1506657249,0
1506657259,0
1506657269,0
1506657279,0
1506657289,0
1506657299,0
1506657309,0
1506657319,0
1506657329,0
1506657339,0
1506657349,0
1506657359,0
1506657369,0
1506657379,0
1506657389,0
1506657399,0
1506657409,0
1506657419,0
1506657429,0
1506657439,0
1506657449,0
1506657459,0
1506657469,0
1506657479,0
1506657489,0
1506657499,0
1506657509,0
1506657519,0
1506657529,0
1506657539,0
1506657549,0
1506657559,0
1506657569,0
1506657579,0
1506657589,0
1506657599,0
1506657609,0
1506657619,0
1506657629,0
1506657639,0
1506657649,0
1506657659,0
1506657669,0
1506657679,0
1506657689,0
1506657699,0
1506657709,0
1506657719,0
1506657729,0
1506657739,0
1506657749,0
1506657759,0
1506657769,0
1506657779,0
1506657789,0
1506657799,0
1506657809,0
1506657819,0
1506657829,0
1506657839,0
1506657849,0
1506657859,0
1506657869,0
1506657879,0
1506657889,0
1506657899,0
1506657909,0
1506657919,0
1506657929,0
1506657939,0
1506657949,0
1506657959,0
1506657969,0
1506657979,0
1506657989,0
1506657999,0
1506658009,0
1506658019,0
1506658029,0
1506658039,0
1506658049,0
1506658059,0
1506658069,0
1506658079,0
1506658089,0
1506658099,0
1506658109,0
1506658119,0
1506658129,0
1506658139,0
1506658149,0
1506658159,0
1506658169,0
1506658179,0
1506658189,0
1506658199,0
1506658209,0
1506658219,0
1506658229,0
1506658239,0
1506658249,0
1506658259,0
1506658269,0
1506658279,0
1506658289,0
1506658299,0
1506658309,0
1506658319,0
1506658329,0
1506658339,0
1506658349,0
1506658359,0
1506658369,0
1506658379,0
