t,value
1504830142,-1
1504830152,-1
1504830162,-1
1504830172,-1
1504830182,-1
1504830192,-1
1504830202,9023
1504830212,9023
1504830222,9023
1504830232,9023
1504830242,9023
1504830252,9023
1504830262,12833
1504830272,12833
1504830282,12833
1504830292,12833
1504830302,12833
1504830312,5525
1504830322,5525
1504830332,5525
1504830342,5525
1504830352,5525
1504830362,1361
1504830372,1361
1504830382,1361
1504830392,1361
1504830402,1361
1504830412,1361
1504830422,1361
1504830432,6757
1504830442,6757
1504830452,6757
1504830462,6757
1504830472,6757
1504830482,6757
1504830492,6757
1504830502,12624
1504830512,12624
1504830522,12624
1504830532,12624
1504830542,12624
1504830552,12624
1504830562,12350
1504830572,12350
1504830582,12350
1504830592,12350
1504830602,12350
1504830612,12350
1504830622,11646
1504830632,11646
1504830642,11646
1504830652,11646
1504830662,11646
1504830672,11646
1504830682,12191
1504830692,12191
1504830702,12191
1504830712,12191
1504830722,12191
1504830732,12191
1504830742,12020
1504830752,12020
1504830762,12020
1504830772,12020
1504830782,12020
1504830792,12020
1504830802,11981
1504830812,11981
1504830822,11981
1504830832,11981
1504830842,11981
1504830852,11981
1504830862,12090
1504830872,12090
1504830882,12090
1504830892,12090
1504830902,12090
1504830912,12090
1504830922,11996
1504830932,11996
1504830942,11996
1504830952,11996
1504830962,11996
1504830972,11996
1504830982,12136
1504830992,12136
1504831002,12136
1504831012,12136
1504831022,12136
1504831032,12136
1504831042,11962
1504831052,11962
1504831062,11962
1504831072,11962
1504831082,11962
1504831092,11962
1504831102,12006
1504831112,12006
1504831122,12006
1504831132,12006
1504831142,12006
1504831152,12006
1504831162,12223
1504831172,12223
1504831182,12223
1504831192,12223
1504831202,12223
1504831212,12223
1504831222,11706
1504831232,11706
1504831242,11706
1504831252,11706
1504831262,11706
1504831272,11706
1504831282,11956
1504831292,11956
1504831302,11956
1504831312,11956
1504831322,11956
1504831332,11956
1504831342,11317
1504831352,11317
1504831362,11317
1504831372,11317
1504831382,11317
1504831392,11317
1504831402,12345
1504831412,12345
1504831422,12345
1504831432,12345
1504831442,12345
1504831452,12345
1504831462,11474
1504831472,11474
1504831482,11474
1504831492,11474
1504831502,11474
1504831512,4474
1504831522,4474
1504831532,4474
1504831542,4474
1504831552,4474
1504831562,1254
1504831572,1254
1504831582,1254
1504831592,1254
1504831602,1254
1504831612,1254
1504831622,1283
1504831632,1283
1504831642,1283
1504831652,1283
1504831662,1283
1504831672,1283
1504831682,1274
1504831692,1274
1504831702,1274
1504831712,1274
1504831722,1274
1504831732,1274
1504831742,1320
1504831752,1320
1504831762,1320
1504831772,1320
1504831782,1320
1504831792,1320
1504831802,1272
1504831812,1272
1504831822,1272
1504831832,1272
1504831842,1272
1504831852,1272
1504831862,1274
1504831872,1274
1504831882,1274
1504831892,1274
1504831902,1274
1504831912,1274
1504831922,1285
1504831932,1285
1504831942,1285
1504831952,1285
1504831962,1285
1504831972,1285
1504831982,1272
1504831992,1272
1504832002,1272
1504832012,1272
1504832022,1272
1504832032,1272
1504832042,1252
1504832052,1252
1504832062,1252
1504832072,1252
1504832082,1252
1504832092,1252
1504832102,1271
1504832112,1271
1504832122,1271
1504832132,1271
1504832142,1271
1504832152,1271
1504832162,1250
1504832172,1250
1504832182,1250
1504832192,1250
1504832202,1250
1504832212,1250
1504832222,1254
1504832232,1254
1504832242,1254
1504832252,1254
1504832262,1254
1504832272,1254
1504832282,1264
1504832292,1264
1504832302,1264
1504832312,1264
1504832322,1264
1504832332,1264
1504832342,1265
1504832352,1265
1504832362,1265
1504832372,1265
1504832382,1265
1504832392,1265
1504832402,1259
1504832412,1259
1504832422,1259
1504832432,1259
1504832442,1259
1504832452,1259
1504832462,1268
1504832472,1268
1504832482,1268
1504832492,1268
1504832502,1268
1504832512,1268
1504832522,1260
1504832532,1260
1504832542,1260
1504832552,1260
1504832562,1260
1504832572,1260
1504832582,1259
1504832592,1259
1504832602,1259
1504832612,1259
1504832622,1259
1504832632,1259
1504832642,1253
1504832652,1253
1504832662,1253
1504832672,1253
1504832682,1253
1504832692,1253
1504832702,1274
1504832712,1274
1504832722,1274
1504832732,1274
1504832742,1274
1504832752,1274
1504832762,1268
1504832772,1268
1504832782,1268
1504832792,1268
1504832802,1268
1504832812,1268
1504832822,1252
1504832832,1252
1504832842,1252
1504832852,1252
1504832862,1252
1504832872,1252
1504832882,1264
1504832892,1264
1504832902,1264
1504832912,1264
1504832922,1264
1504832932,1264
1504832942,1256
1504832952,1256
1504832962,1256
1504832972,1256
1504832982,1256
1504832992,1256
1504833002,1263
1504833012,1263
1504833022,1263
1504833032,1263
1504833042,1263
1504833052,1263
1504833062,1263
1504833072,1263
1504833082,1263
1504833092,1263
1504833102,1263
1504833112,1263
1504833122,1260
1504833132,1260
1504833142,1260
1504833152,1260
1504833162,1260
1504833172,1260
1504833182,1269
1504833192,1269
1504833202,1269
1504833212,1269
1504833222,1269
1504833232,1269
