t,value
1507180442,0
1507180452,0
1507180462,0
1507180472,0
1507180482,0
1507180492,0
1507180502,0
1507180512,1
1507180522,1
1507180532,1
1507180542,1
1507180552,0
1507180562,0
1507180572,0
1507180582,0
1507180592,1
1507180602,1
1507180612,1
1507180622,1
1507180632,1
1507180642,1
1507180652,1
1507180662,1
1507180672,1
1507180682,1
1507180692,1
1507180702,1
1507180712,1
1507180722,1
1507180732,1
1507180742,1
1507180752,1
1507180762,1
1507180772,1
1507180782,1
1507180792,1
1507180802,1
1507180812,1
1507180822,1
1507180832,1
1507180842,1
1507180852,1
1507180862,1
1507180872,1
1507180882,1
1507180892,1
1507180902,1
1507180912,1
1507180922,1
1507180932,1
1507180942,1
1507180952,1
1507180962,1
1507180972,1
1507180982,1
1507180992,1
1507181002,1
1507181012,1
1507181022,1
1507181032,1
1507181042,1
1507181052,1
1507181062,1
1507181072,1
1507181082,1
1507181092,1
1507181102,1
1507181112,1
1507181122,1
1507181132,1
1507181142,1
1507181152,1
1507181162,1
1507181172,1
1507181182,1
1507181192,1
1507181202,1
1507181212,1
1507181222,1
1507181232,1
1507181242,1
1507181252,1
1507181262,1
1507181272,1
1507181282,1
1507181292,1
1507181302,1
1507181312,1
1507181322,1
1507181332,1
1507181342,1
1507181352,1
1507181362,1
1507181372,1
1507181382,1
1507181392,1
1507181402,1
1507181412,1
1507181422,1
1507181432,1
1507181442,1
1507181452,1
1507181462,1
1507181472,1
1507181482,1
1507181492,1
1507181502,1
1507181512,1
1507181522,1
1507181532,1
1507181542,1
1507181552,1
1507181562,1
1507181572,1
1507181582,1
1507181592,1
1507181602,1
1507181612,1
1507181622,1
1507181632,1
1507181642,1
1507181652,1
1507181662,1
1507181672,1
1507181682,1
1507181692,1
1507181702,1
1507181712,1
1507181722,1
1507181732,1
1507181742,1
1507181752,1
1507181762,1
1507181772,1
1507181782,1
1507181792,1
1507181802,1
1507181812,1
1507181822,1
1507181832,1
1507181842,1
1507181852,1
1507181862,1
1507181872,1
1507181882,1
1507181892,1
1507181902,1
1507181912,1
1507181922,1
1507181932,1
1507181942,1
1507181952,1
1507181962,1
1507181972,1
1507181982,1
1507181992,1
1507182002,1
1507182012,1
1507182022,1
1507182032,1
1507182042,1
1507182052,1
1507182062,1
1507182072,1
1507182082,1
1507182092,1
1507182102,1
1507182112,1
1507182122,1
1507182132,1
1507182142,1
1507182152,1
1507182162,1
1507182172,1
1507182182,1
1507182192,1
1507182202,1
1507182212,1
1507182222,1
1507182232,1
1507182242,1
1507182252,0
1507182262,0
1507182272,0
1507182282,0
1507182292,0
1507182302,0
1507182312,0
1507182322,0
1507182332,0
1507182342,0
1507182352,0
1507182362,0
1507182372,0
1507182382,0
1507182392,0
1507182402,0
1507182412,0
1507182422,0
1507182432,0
1507182442,0
1507182452,0
1507182462,0
1507182472,0
1507182482,0
1507182492,0
1507182502,0
1507182512,0
1507182522,0
1507182532,0
1507182542,0
1507182552,0
1507182562,0
1507182572,0
1507182582,0
1507182592,0
1507182602,0
1507182612,0
1507182622,0
1507182632,0
1507182642,0
1507182652,0
