t,value
1506106660,-1
1506106670,-1
1506106680,-1
1506106690,-1
1506106700,-1
1506106710,-1
1506106720,-1
1506106730,33283
1506106740,33283
1506106750,33283
1506106760,33283
1506106770,33283
1506106780,33283
1506106790,33283
1506106800,33283
1506106810,33283
1506106820,33283
1506106830,33283
1506106840,33283
1506106850,33283
1506106860,33283
1506106870,33283
1506106880,33283
1506106890,118903
1506106900,118903
1506106910,118903
1506106920,118903
1506106930,118903
1506106940,118903
1506106950,118903
1506106960,118903
1506106970,118903
1506106980,118903
1506106990,118903
1506107000,118903
1506107010,118903
1506107020,118903
1506107030,118903
1506107040,189021
1506107050,189021
1506107060,189021
1506107070,189021
1506107080,189021
1506107090,189021
1506107100,189021
1506107110,189021
1506107120,189021
1506107130,189021
1506107140,189021
1506107150,189021
1506107160,189021
1506107170,189021
1506107180,189021
1506107190,189021
1506107200,189021
1506107210,189021
1506107220,290818
1506107230,290818
1506107240,290818
1506107250,290818
1506107260,290818
1506107270,290818
1506107280,290818
1506107290,290818
1506107300,290818
1506107310,290818
1506107320,290818
1506107330,290818
1506107340,290818
1506107350,290818
1506107360,357397
1506107370,357397
1506107380,357397
1506107390,357397
1506107400,357397
1506107410,357397
1506107420,357397
1506107430,357397
1506107440,357397
1506107450,357397
1506107460,357397
1506107470,357397
1506107480,357397
1506107490,357397
1506107500,411544
1506107510,411544
1506107520,411544
1506107530,411544
1506107540,411544
1506107550,411544
1506107560,411544
1506107570,411544
1506107580,411544
1506107590,411544
1506107600,411544
1506107610,411544
1506107620,411544
1506107630,454720
1506107640,454720
1506107650,454720
1506107660,454720
1506107670,454720
1506107680,454720
1506107690,454720
1506107700,454720
1506107710,454720
1506107720,454720
1506107730,454720
1506107740,454720
1506107750,454720
1506107760,454720
1506107770,454720
1506107780,521942
1506107790,521942
1506107800,521942
1506107810,521942
1506107820,521942
1506107830,521942
1506107840,521942
1506107850,521942
1506107860,521942
1506107870,521942
1506107880,404531
1506107890,9110
1506107900,9110
1506107910,9110
1506107920,9110
1506107930,9110
1506107940,9110
1506107950,1296
1506107960,1296
1506107970,1296
1506107980,1296
1506107990,1296
1506108000,1296
1506108010,1298
1506108020,1298
1506108030,1298
1506108040,1298
1506108050,1298
1506108060,1298
1506108070,1264
1506108080,1264
1506108090,1264
1506108100,1264
1506108110,1264
1506108120,1264
1506108130,1275
1506108140,1275
1506108150,1275
1506108160,1275
1506108170,1275
1506108180,1275
1506108190,1267
1506108200,1267
1506108210,1267
1506108220,1267
1506108230,1267
1506108240,1267
1506108250,1249
1506108260,1249
1506108270,1249
1506108280,1249
1506108290,1249
1506108300,1249
1506108310,1293
1506108320,1293
1506108330,1293
1506108340,1293
1506108350,1293
1506108360,1293
1506108370,1253
1506108380,1253
1506108390,1253
1506108400,1253
1506108410,1253
1506108420,1253
1506108430,1248
1506108440,1248
1506108450,1248
1506108460,1248
1506108470,1248
1506108480,1248
1506108490,1268
1506108500,1268
1506108510,1268
1506108520,1268
1506108530,1268
1506108540,1268
1506108550,1234
1506108560,1234
1506108570,1234
1506108580,1234
1506108590,1234
1506108600,1234
1506108610,1253
1506108620,1253
1506108630,1253
1506108640,1253
1506108650,1253
1506108660,1253
1506108670,1265
1506108680,1265
1506108690,1265
1506108700,1265
1506108710,1265
1506108720,1265
1506108730,1253
1506108740,1253
1506108750,1253
1506108760,1253
1506108770,1253
1506108780,1253
1506108790,1255
1506108800,1255
1506108810,1255
1506108820,1255
1506108830,1255
1506108840,1255
1506108850,1241
1506108860,1241
1506108870,1241
1506108880,1241
1506108890,1241
1506108900,1241
1506108910,1268
1506108920,1268
1506108930,1268
1506108940,1268
1506108950,1268
1506108960,1268
1506108970,1248
1506108980,1248
1506108990,1248
1506109000,1248
1506109010,1248
1506109020,1248
1506109030,1265
1506109040,1265
1506109050,1265
1506109060,1265
1506109070,1265
1506109080,1265
1506109090,1258
1506109100,1258
1506109110,1258
1506109120,1258
1506109130,1258
1506109140,1258
1506109150,1254
1506109160,1254
1506109170,1254
1506109180,1254
1506109190,1254
1506109200,1254
1506109210,1249
1506109220,1249
1506109230,1249
1506109240,1249
1506109250,1249
1506109260,1249
1506109270,1242
1506109280,1242
1506109290,1242
1506109300,1242
1506109310,1242
1506109320,1242
1506109330,1252
1506109340,1252
1506109350,1252
1506109360,1252
1506109370,1252
1506109380,1252
1506109390,1260
1506109400,1260
1506109410,1260
1506109420,1260
1506109430,1260
1506109440,1260
1506109450,1248
1506109460,1248
1506109470,1248
1506109480,1248
1506109490,1248
1506109500,1248
1506109510,1242
1506109520,1242
1506109530,1242
1506109540,1242
1506109550,1242
1506109560,1242
1506109570,1238
1506109580,1238
1506109590,1238
1506109600,1238
1506109610,1238
1506109620,1238
1506109630,1259
1506109640,1259
1506109650,1259
1506109660,1259
1506109670,1259
1506109680,1259
1506109690,1268
1506109700,1268
1506109710,1268
1506109720,1268
1506109730,1268
1506109740,1268
1506109750,1247
1506109760,1247
1506109770,1247
1506109780,1247
1506109790,1247
1506109800,1247
1506109810,1247
1506109820,1247
1506109830,1247
1506109840,1247
1506109850,1247
1506109860,1247
1506109870,1268
1506109880,1268
1506109890,1268
1506109900,1268
1506109910,1268
1506109920,1268
1506109930,1271
1506109940,1271
1506109950,1271
1506109960,1271
1506109970,1271
1506109980,1271
1506109990,1299
1506110000,1299
1506110010,1299
1506110020,1299
1506110030,1299
1506110040,1299
1506110050,1254
1506110060,1254
1506110070,1254
1506110080,1254
1506110090,1254
1506110100,1254
1506110110,1250
1506110120,1250
1506110130,1250
1506110140,1250
1506110150,1250
1506110160,1250
1506110170,1309
1506110180,1309
1506110190,1309
1506110200,1309
1506110210,1309
1506110220,1309
1506110230,1287
1506110240,1287
1506110250,1287
1506110260,1287
1506110270,1287
1506110280,1287
1506110290,1297
1506110300,1297
1506110310,1297
1506110320,1297
1506110330,1297
1506110340,1297
1506110350,1280
1506110360,1280
1506110370,1280
1506110380,1280
1506110390,1280
1506110400,1280
1506110410,1241
1506110420,1241
1506110430,1241
1506110440,1241
1506110450,1241
1506110460,1241
1506110470,1249
1506110480,1249
1506110490,1249
1506110500,1249
1506110510,1249
1506110520,1249
1506110530,1274
1506110540,1274
1506110550,1274
1506110560,1274
1506110570,1274
1506110580,1274
1506110590,1266
1506110600,1266
1506110610,1266
1506110620,1266
1506110630,1266
1506110640,1266
1506110650,1263
1506110660,1263
1506110670,1263
1506110680,1263
1506110690,1263
1506110700,1263
1506110710,1279
1506110720,1279
1506110730,1279
1506110740,1279
1506110750,1279
1506110760,1279
1506110770,1231
1506110780,1231
1506110790,1231
1506110800,1231
1506110810,1231
1506110820,1231
1506110830,1241
1506110840,1241
1506110850,1241
1506110860,1241
1506110870,1241
1506110880,1241
1506110890,1243
1506110900,1243
1506110910,1243
1506110920,1243
1506110930,1243
1506110940,1243
1506110950,1265
1506110960,1265
1506110970,1265
1506110980,1265
1506110990,1265
1506111000,1265
1506111010,1257
1506111020,1257
1506111030,1257
1506111040,1257
1506111050,1257
1506111060,1257
1506111070,1275
1506111080,1275
1506111090,1275
1506111100,1275
1506111110,1275
1506111120,1275
1506111130,1241
1506111140,1241
1506111150,1241
1506111160,1241
1506111170,1241
1506111180,1241
1506111190,1244
1506111200,1244
1506111210,1244
